invoice_number,po_number,item_code,item_name,quantity_invoiced,unit_price_invoiced,invoice_date,supplier_name,total_value_invoiced
INV-5500,PO-0042,ITM-114,Cable Organizer Set,500,15.0,2026-03-12,Office Depot UAE,7500.0
INV-5501,PO-0033,ITM-104,Wireless Keyboard,250,89.0,2026-03-27,ElectroWare Trading,22250.0
INV-5502,PO-0023,ITM-103,HDMI Cable 3m,250,28.0,2026-03-24,TechSupply LLC,7000.0
INV-5503,PO-0013,ITM-107,External Hard Drive 1TB,100,189.0,2026-03-15,ElectroWare Trading,18900.0
INV-5504,PO-0024,ITM-112,Screen Protector Pack,38,22.0,2026-03-21,Office Depot UAE,836.0
INV-5505,PO-0009,ITM-107,External Hard Drive 1TB,150,189.0,2026-03-21,ElectroWare Trading,28350.0
INV-5506,PO-0052,ITM-108,USB Hub 4-Port,134,34.0,2026-03-22,Digital Solutions FZE,4556.0
INV-5507,PO-0059,ITM-104,Wireless Keyboard,150,89.0,2026-03-19,Digital Solutions FZE,13350.0
INV-5508,PO-0053,ITM-103,HDMI Cable 3m,500,30.44,2026-03-25,ElectroWare Trading,15220.0
INV-5509,PO-0020,ITM-111,Power Bank 20000mAh,311,95.0,2026-03-17,ElectroWare Trading,29545.0
INV-5510,PO-0030,ITM-103,HDMI Cable 3m,250,28.0,2026-03-17,TechSupply LLC,7000.0
INV-5511,PO-0040,ITM-109,Webcam HD 1080p,500,156.0,2026-03-22,ElectroWare Trading,78000.0
INV-5512,PO-0007,ITM-111,Power Bank 20000mAh,500,95.0,2026-03-11,TechSupply LLC,47500.0
INV-5513,PO-0022,ITM-103,HDMI Cable 3m,100,28.0,2026-03-22,Digital Solutions FZE,2800.0
INV-5514,PO-0037,ITM-112,Screen Protector Pack,50,22.0,2026-03-17,ElectroWare Trading,1100.0
INV-5515,PO-0049,ITM-106,Laptop Cooling Pad,609,67.0,2026-03-29,ElectroWare Trading,40803.0
INV-5516,PO-0054,ITM-107,External Hard Drive 1TB,500,173.24,2026-03-20,ElectroWare Trading,86620.0
INV-5517,PO-0036,ITM-104,Wireless Keyboard,87,89.0,2026-03-19,ElectroWare Trading,7743.0
INV-5518,PO-0043,ITM-108,USB Hub 4-Port,200,34.0,2026-03-11,TechSupply LLC,6800.0
INV-5519,PO-0001,ITM-102,USB-C Cable 2m,200,12.5,2026-03-20,ElectroWare Trading,2500.0
INV-5520,PO-0014,ITM-110,Headset with Mic,500,68.3,2026-03-12,ElectroWare Trading,34150.0
INV-5521,PO-0023,ITM-110,Headset with Mic,50,78.0,2026-03-16,TechSupply LLC,3900.0
INV-5522,PO-0060,ITM-111,Power Bank 20000mAh,150,95.0,2026-03-18,Digital Solutions FZE,14250.0
INV-5523,PO-0056,ITM-108,USB Hub 4-Port,200,30.2,2026-03-21,TechSupply LLC,6040.0
INV-5524,PO-0051,ITM-109,Webcam HD 1080p,150,156.0,2026-03-28,Digital Solutions FZE,23400.0
INV-5525,PO-0006,ITM-114,Cable Organizer Set,250,15.0,2026-03-17,Digital Solutions FZE,3750.0
INV-5526,PO-0006,ITM-102,USB-C Cable 2m,150,12.5,2026-03-24,Office Depot UAE,1875.0
INV-5527,PO-0025,ITM-107,External Hard Drive 1TB,50,206.62,2026-03-15,ElectroWare Trading,10331.0
INV-5528,PO-0046,ITM-112,Screen Protector Pack,50,22.0,2026-03-26,TechSupply LLC,1100.0
INV-5529,PO-0008,ITM-112,Screen Protector Pack,248,22.0,2026-03-13,Digital Solutions FZE,5456.0
INV-5530,PO-0049,ITM-109,Webcam HD 1080p,500,156.0,2026-03-13,ElectroWare Trading,78000.0
INV-5531,PO-0006,ITM-113,Phone Case Universal,250,18.0,2026-03-29,Office Depot UAE,4500.0
INV-5532,PO-0054,ITM-104,Wireless Keyboard,50,101.04,2026-03-15,Digital Solutions FZE,5052.0
INV-5533,PO-0017,ITM-111,Power Bank 20000mAh,250,95.0,2026-03-26,Digital Solutions FZE,23750.0
INV-5534,PO-0045,ITM-107,External Hard Drive 1TB,150,189.0,2026-03-10,TechSupply LLC,28350.0
INV-5535,PO-0052,ITM-103,HDMI Cable 3m,50,28.0,2026-03-23,Office Depot UAE,1400.0
INV-5536,PO-0003,ITM-112,Screen Protector Pack,115,22.0,2026-03-11,ElectroWare Trading,2530.0
INV-5537,PO-0035,ITM-115,Desk Lamp LED,100,119.38,2026-03-26,Digital Solutions FZE,11938.0
INV-5538,PO-0025,ITM-110,Headset with Mic,500,78.0,2026-03-17,TechSupply LLC,39000.0
INV-5539,PO-0002,ITM-106,Laptop Cooling Pad,100,67.0,2026-03-15,Digital Solutions FZE,6700.0
INV-5540,PO-0055,ITM-104,Wireless Keyboard,500,89.0,2026-03-19,Digital Solutions FZE,44500.0
INV-5541,PO-0018,ITM-105,Monitor Stand Adjustable,500,162.12,2026-03-19,Office Depot UAE,81060.0
INV-5542,PO-0045,ITM-106,Laptop Cooling Pad,395,71.36,2026-03-14,Digital Solutions FZE,28187.2
INV-5543,PO-0029,ITM-108,USB Hub 4-Port,500,34.0,2026-03-10,Office Depot UAE,17000.0
INV-5544,PO-0035,ITM-108,USB Hub 4-Port,500,34.0,2026-03-25,ElectroWare Trading,17000.0
INV-5545,PO-0017,ITM-104,Wireless Keyboard,100,89.0,2026-03-29,TechSupply LLC,8900.0
INV-5546,PO-0041,ITM-108,USB Hub 4-Port,200,34.0,2026-03-24,ElectroWare Trading,6800.0
INV-5547,PO-0046,ITM-107,External Hard Drive 1TB,500,178.96,2026-03-18,Digital Solutions FZE,89480.0
INV-5548,PO-0025,ITM-102,USB-C Cable 2m,50,12.5,2026-03-18,Office Depot UAE,625.0
