po_number,item_code,item_name,quantity_ordered,unit_price,supplier_name,po_date,total_value
PO-0001,ITM-101,Wireless Mouse Logitech,250,45.0,ElectroWare Trading,2026-03-05,11250.0
PO-0001,ITM-102,USB-C Cable 2m,200,12.5,ElectroWare Trading,2026-02-19,2500.0
PO-0001,ITM-106,Laptop Cooling Pad,100,67.0,Digital Solutions FZE,2026-03-08,6700.0
PO-0001,ITM-104,Wireless Keyboard,50,89.0,Digital Solutions FZE,2026-03-07,4450.0
PO-0002,ITM-102,USB-C Cable 2m,250,12.5,TechSupply LLC,2026-02-18,3125.0
PO-0002,ITM-106,Laptop Cooling Pad,100,67.0,Digital Solutions FZE,2026-03-04,6700.0
PO-0002,ITM-105,Monitor Stand Adjustable,200,145.0,ElectroWare Trading,2026-03-20,29000.0
PO-0002,ITM-114,Cable Organizer Set,100,15.0,TechSupply LLC,2026-03-27,1500.0
PO-0002,ITM-113,Phone Case Universal,200,18.0,Digital Solutions FZE,2026-03-22,3600.0
PO-0003,ITM-115,Desk Lamp LED,100,112.0,ElectroWare Trading,2026-02-13,11200.0
PO-0003,ITM-112,Screen Protector Pack,100,22.0,ElectroWare Trading,2026-02-21,2200.0
PO-0003,ITM-105,Monitor Stand Adjustable,500,145.0,Office Depot UAE,2026-03-14,72500.0
PO-0003,ITM-109,Webcam HD 1080p,500,156.0,Office Depot UAE,2026-02-17,78000.0
PO-0004,ITM-114,Cable Organizer Set,50,15.0,Digital Solutions FZE,2026-03-21,750.0
PO-0004,ITM-104,Wireless Keyboard,150,89.0,Office Depot UAE,2026-03-12,13350.0
PO-0004,ITM-103,HDMI Cable 3m,150,28.0,Office Depot UAE,2026-02-24,4200.0
PO-0004,ITM-106,Laptop Cooling Pad,150,67.0,TechSupply LLC,2026-02-15,10050.0
PO-0004,ITM-101,Wireless Mouse Logitech,100,45.0,TechSupply LLC,2026-03-01,4500.0
PO-0005,ITM-113,Phone Case Universal,250,18.0,Office Depot UAE,2026-03-15,4500.0
PO-0006,ITM-113,Phone Case Universal,250,18.0,Office Depot UAE,2026-02-14,4500.0
PO-0006,ITM-114,Cable Organizer Set,250,15.0,Digital Solutions FZE,2026-03-16,3750.0
PO-0006,ITM-102,USB-C Cable 2m,150,12.5,Office Depot UAE,2026-03-07,1875.0
PO-0007,ITM-111,Power Bank 20000mAh,500,95.0,TechSupply LLC,2026-03-28,47500.0
PO-0007,ITM-112,Screen Protector Pack,50,22.0,Office Depot UAE,2026-03-16,1100.0
PO-0007,ITM-101,Wireless Mouse Logitech,50,45.0,Office Depot UAE,2026-02-18,2250.0
PO-0007,ITM-107,External Hard Drive 1TB,500,189.0,Digital Solutions FZE,2026-03-02,94500.0
PO-0008,ITM-112,Screen Protector Pack,200,22.0,Digital Solutions FZE,2026-02-18,4400.0
PO-0009,ITM-107,External Hard Drive 1TB,150,189.0,ElectroWare Trading,2026-03-27,28350.0
PO-0009,ITM-115,Desk Lamp LED,250,112.0,Digital Solutions FZE,2026-03-03,28000.0
PO-0010,ITM-110,Headset with Mic,200,78.0,Office Depot UAE,2026-03-23,15600.0
PO-0010,ITM-115,Desk Lamp LED,250,112.0,Office Depot UAE,2026-03-09,28000.0
PO-0010,ITM-112,Screen Protector Pack,200,22.0,Office Depot UAE,2026-02-21,4400.0
PO-0010,ITM-109,Webcam HD 1080p,150,156.0,ElectroWare Trading,2026-03-26,23400.0
PO-0011,ITM-106,Laptop Cooling Pad,500,67.0,ElectroWare Trading,2026-02-22,33500.0
PO-0011,ITM-110,Headset with Mic,200,78.0,Digital Solutions FZE,2026-03-03,15600.0
PO-0011,ITM-105,Monitor Stand Adjustable,50,145.0,Digital Solutions FZE,2026-03-27,7250.0
PO-0012,ITM-108,USB Hub 4-Port,50,34.0,Digital Solutions FZE,2026-03-18,1700.0
PO-0013,ITM-107,External Hard Drive 1TB,100,189.0,ElectroWare Trading,2026-02-22,18900.0
PO-0014,ITM-106,Laptop Cooling Pad,200,67.0,Office Depot UAE,2026-03-07,13400.0
PO-0014,ITM-102,USB-C Cable 2m,500,12.5,ElectroWare Trading,2026-02-27,6250.0
PO-0014,ITM-110,Headset with Mic,500,78.0,ElectroWare Trading,2026-03-21,39000.0
PO-0014,ITM-115,Desk Lamp LED,150,112.0,Office Depot UAE,2026-02-23,16800.0
PO-0014,ITM-111,Power Bank 20000mAh,250,95.0,ElectroWare Trading,2026-02-24,23750.0
PO-0015,ITM-109,Webcam HD 1080p,500,156.0,TechSupply LLC,2026-03-23,78000.0
PO-0015,ITM-106,Laptop Cooling Pad,150,67.0,Digital Solutions FZE,2026-02-16,10050.0
PO-0015,ITM-102,USB-C Cable 2m,250,12.5,Digital Solutions FZE,2026-02-28,3125.0
PO-0015,ITM-113,Phone Case Universal,50,18.0,ElectroWare Trading,2026-02-26,900.0
PO-0016,ITM-106,Laptop Cooling Pad,150,67.0,Digital Solutions FZE,2026-03-05,10050.0
